disease,model,run,llm_n,overlap_panther,overlap_enrichr,overlap_gprofiler,overlap_union,union_size,jaccard_union,recall_union
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run039,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run039,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run040,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run040,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run040,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run040,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run040,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run040,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run041,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run041,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run041,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run041,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run041,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run041,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run042,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run042,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run042,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run042,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run042,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run042,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run043,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run043,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run043,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run043,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run043,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run043,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run044,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run044,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run044,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run044,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run044,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run044,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run045,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run045,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run045,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run045,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run045,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run045,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run046,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run046,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run046,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run046,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run046,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run046,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run047,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run047,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run047,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run047,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run047,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run047,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run048,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run048,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run048,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run048,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run048,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run048,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run049,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run049,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run049,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run049,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run049,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run049,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run050,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run050,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run050,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run050,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run050,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run050,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run051,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run051,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run051,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run051,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run051,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run051,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run052,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run052,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run052,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run052,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run052,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run052,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run053,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run053,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run053,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run053,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run053,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run053,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run054,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run054,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run054,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run054,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run054,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run054,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run055,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run055,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run055,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run055,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run055,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run055,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run056,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run056,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run056,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run056,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run056,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run056,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run057,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run057,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run057,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run057,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run057,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run057,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run058,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run058,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run058,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run058,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run058,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run058,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run059,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run059,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run059,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run059,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run059,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run059,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run060,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run060,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run060,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run060,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run060,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run060,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run061,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run061,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run061,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run061,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run061,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run061,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run062,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run062,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run062,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run062,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run062,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run062,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run063,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run063,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run063,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run063,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run063,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run063,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run064,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run064,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run064,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run064,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run064,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run064,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run065,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run065,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run065,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run065,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run065,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run065,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run066,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run066,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run066,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run066,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run066,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run066,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run067,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run067,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run067,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run067,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run067,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run067,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run068,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run068,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run068,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run068,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run068,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run068,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run069,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run069,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run069,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run069,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run069,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run069,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run070,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run070,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run070,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run070,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run070,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run070,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run071,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run071,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run071,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run071,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run071,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run071,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run072,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run072,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run072,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run072,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run072,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run072,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run073,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run073,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run073,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run073,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run073,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run073,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run074,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run074,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run074,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run074,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run074,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run074,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run075,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run075,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run075,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run075,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run075,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run075,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run076,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run076,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run076,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run076,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run076,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run076,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run077,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run077,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run077,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run077,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run077,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run077,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run078,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run078,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run078,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run078,10,0,0,0,0,19,0.000,0.000
