model,disease,run,llm_n,kept,dropped,coverage,zero_kept
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run045,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run046,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run046,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run046,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run046,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run046,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run046,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run047,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run047,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run047,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run047,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run047,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run047,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run048,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run048,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run048,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run048,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run048,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run048,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run049,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run049,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run049,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run049,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run049,10,7,3,0.700,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run049,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run050,10,3,7,0.300,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run050,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run050,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run050,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run050,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run050,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run051,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run051,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run051,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run051,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run051,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run051,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run052,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run052,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run052,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run052,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run052,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run052,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run053,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run053,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run053,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run053,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run053,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run053,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run054,10,3,7,0.300,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run054,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run054,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run054,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run054,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run054,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run055,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run055,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run055,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run055,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run055,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run055,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run056,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run056,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run056,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run056,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run056,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run056,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run057,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run057,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run057,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run057,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run057,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run057,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run058,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run058,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run058,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run058,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run058,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run058,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run059,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run059,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run059,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run059,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run059,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run059,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run060,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run060,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run060,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run060,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run060,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run060,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run061,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run061,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run061,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run061,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run061,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run061,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run062,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run062,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run062,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run062,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run062,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run062,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run063,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run063,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run063,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run063,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run063,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run063,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run064,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run064,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run064,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run064,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run064,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run064,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run065,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run065,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run065,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run065,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run065,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run065,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run066,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run066,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run066,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run066,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run066,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run066,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run067,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run067,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run067,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run067,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run067,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run067,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run068,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run068,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run068,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run068,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run068,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run068,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run069,10,3,7,0.300,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run069,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run069,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run069,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run069,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run069,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run070,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run070,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run070,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run070,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run070,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run070,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run071,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run071,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run071,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run071,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run071,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run071,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run072,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run072,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run072,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run072,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run072,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run072,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run073,10,3,7,0.300,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run073,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run073,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run073,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run073,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run073,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run074,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run074,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run074,10,6,4,0.600,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run074,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run074,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run074,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run075,10,3,7,0.300,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run075,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run075,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run075,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run075,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run075,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run076,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run076,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run076,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run076,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run076,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run076,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run077,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run077,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run077,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run077,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run077,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run077,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run078,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run078,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run078,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run078,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run078,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run078,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run079,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run079,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run079,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run079,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run079,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run079,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run080,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run080,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run080,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run080,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run080,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run080,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run081,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run081,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run081,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run081,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run081,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run081,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run082,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run082,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run082,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run082,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run082,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run082,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run083,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run083,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run083,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run083,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run083,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run083,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run084,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run084,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run084,10,6,4,0.600,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run084,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run084,10,7,3,0.700,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run084,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run085,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run085,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run085,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run085,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run085,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run085,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run086,10,3,7,0.300,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run086,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run086,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run086,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run086,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run086,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run087,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run087,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run087,10,6,4,0.600,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run087,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run087,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run087,10,0,10,0.000,1
groq-qwen3.8-27b,alzheimers_disease,groq-qwen3.8-27b-run001,10,2,8,0.200,0
groq-qwen3.8-27b,hereditary_cancer,groq-qwen3.8-27b-run001,10,4,6,0.400,0
groq-qwen3.8-27b,hypertrophic_cardiomyopathy,groq-qwen3.8-27b-run001,9,2,7,0.222,0
groq-qwen3.8-27b,parkinsons_disease,groq-qwen3.8-27b-run001,10,2,8,0.200,0
groq-qwen3.8-27b,primary_immunodeficiency,groq-qwen3.8-27b-run001,10,1,9,0.100,0
groq-qwen3.8-27b,type2_diabetes,groq-qwen3.8-27b-run001,10,0,10,0.000,1
groq-qwen3.8-27b,alzheimers_disease,groq-qwen3.8-27b-run002,10,2,8,0.200,0
groq-qwen3.8-27b,hereditary_cancer,groq-qwen3.8-27b-run002,10,5,5,0.500,0
groq-qwen3.8-27b,hypertrophic_cardiomyopathy,groq-qwen3.8-27b-run002,9,2,7,0.222,0
groq-qwen3.8-27b,parkinsons_disease,groq-qwen3.8-27b-run002,10,2,8,0.200,0
groq-qwen3.8-27b,primary_immunodeficiency,groq-qwen3.8-27b-run002,10,1,9,0.100,0
groq-qwen3.8-27b,type2_diabetes,groq-qwen3.8-27b-run002,4,0,4,0.000,1
groq-qwen3.8-27b,alzheimers_disease,groq-qwen3.8-27b-run003,10,2,8,0.200,0
groq-qwen3.8-27b,hereditary_cancer,groq-qwen3.8-27b-run003,10,5,5,0.500,0
groq-qwen3.8-27b,hypertrophic_cardiomyopathy,groq-qwen3.8-27b-run003,9,2,7,0.222,0
groq-qwen3.8-27b,parkinsons_disease,groq-qwen3.8-27b-run003,10,2,8,0.200,0
groq-qwen3.8-27b,primary_immunodeficiency,groq-qwen3.8-27b-run003,10,1,9,0.100,0
groq-qwen3.8-27b,type2_diabetes,groq-qwen3.8-27b-run003,4,0,4,0.000,1
groq-qwen3.8-27b,alzheimers_disease,groq-qwen3.8-27b-run004,10,2,8,0.200,0
