model,disease,run,llm_ids,unsupported,ane,valid_enriched
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run045,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run045,9,1,6,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run045,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run045,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run046,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run046,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run046,10,3,2,5
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run046,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run046,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run046,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run047,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run047,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run047,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run047,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run047,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run047,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run048,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run048,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run048,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run048,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run048,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run048,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run049,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run049,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run049,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run049,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run049,10,0,3,7
